09/12/2011;406;A;MGA;000000,0008569;000000,0008691;000002086,0000;000002115,0000
09/12/2011;420;A;RWF;00000000,00301;0000000,003011;000000602,1658;000000602,1658
09/12/2011;425;A;CHF;000000001,9618;000000001,9628;000000000,9237;000000000,9238
09/12/2011;440;A;HTG;00000000,04411;00000000,04579;000000039,5969;000000041,0890
09/12/2011;450;A;PYG;000000,0004077;000000,0004144;000004375,0000;000004445,0000
09/12/2011;460;A;UAH;000000000,2261;000000000,2267;000000007,9970;000000008,0145
09/12/2011;470;A;JPY;00000000,02333;00000000,02335;000000077,6600;000000077,6700
09/12/2011;482;A;GEL;000000001,0885;000000001,0988;000000001,6500;000000001,6650
09/12/2011;485;A;LVL;000000003,4652;000000003,4765;000000000,5215;000000000,5230
09/12/2011;490;A;ALL;00000000,01731;00000000,01745;000000103,9000;000000104,6700
09/12/2011;495;A;HNL;00000000,09579;00000000,09582;000000018,9200;000000018,9200
09/12/2011;500;A;SLL;000000,0004087;000000,0004171;000004346,4507;000004434,2603
09/12/2011;503;A;MDL;000000000,1536;000000000,1547;000000011,7225;000000011,8025
09/12/2011;506;A;RON;000000000,5575;000000000,5583;000000003,2476;000000003,2509
09/12/2011;510;A;BGN;000000001,2384;000000001,2391;000000001,4631;000000001,4634
09/12/2011;530;B;GIP;000000002,8341;000000002,8354;000000001,5638;000000001,5639
09/12/2011;535;A;EGP;000000000,3008;000000000,3019;000000006,0047;000000006,0247
09/12/2011;540;B;GBP;000000002,8341;000000002,8354;000000001,5638;000000001,5639
09/12/2011;545;B;FKP;000000002,8343;000000002,8357;000000001,5639;000000001,5641
09/12/2011;560;A;LBP;000000000,0012;0000000,001208;000001501,0000;000001510,0000
09/12/2011;570;B;SHP;000000002,8339;000000002,8354;000000001,5637;000000001,5639
09/12/2011;575;A;SYP;00000000,03347;00000000,03348;000000054,1455;000000054,1455
09/12/2011;585;A;SZL;000000000,2227;000000000,2230;000000008,1302;000000008,1364
09/12/2011;601;A;LTL;000000000,7015;000000000,7019;000000002,5831;000000002,5836
09/12/2011;603;A;LSL;000000000,2228;000000000,2230;000000008,1308;000000008,1357
09/12/2011;608;A;TMT;000000000,6359;000000000,6361;000000002,8500;000000002,8500
09/12/2011;622;A;MZN;00000000,06755;00000000,06894;000000026,3000;000000026,8300
09/12/2011;625;A;ERN;000000000,1208;000000000,1209;000000015,0000;000000015,0000
09/12/2011;630;A;NGN;00000000,01119;00000000,01122;000000161,6399;000000161,9399
09/12/2011;635;A;AOA;00000000,01912;00000000,01912;000000094,8052;000000094,8052
09/12/2011;640;A;TWD;00000000,05998;00000000,06003;000000030,2040;000000030,2150
09/12/2011;642;A;TRY;000000000,9812;000000000,9820;000000001,8463;000000001,8470
09/12/2011;660;A;PEN;000000000,6720;000000000,6743;000000002,6888;000000002,6970
09/12/2011;665;A;BTN;00000000,03482;00000000,03484;000000052,0350;000000052,0500
09/12/2011;670;A;MRO;0000000,006185;0000000,006406;000000283,0000;000000293,0000
09/12/2011;680;B;TOP;000000001,0551;000000001,0555;000000000,5822;000000000,5822
09/12/2011;685;A;MOP;000000000,2263;000000000,2264;000000008,0083;000000008,0083
09/12/2011;706;A;ARS;000000000,4236;000000000,4237;000000004,2785;000000004,2785
09/12/2011;715;A;CLP;0000000,003548;0000000,003552;000000510,4000;000000510,8000
09/12/2011;720;A;COP;000000,0009392;000000,0009402;000001928,2500;000001929,6000
09/12/2011;725;A;CUP;000000001,8123;000000001,8130;000000001,0000;000000001,0000
09/12/2011;730;A;DOP;00000000,04695;00000000,04715;000000038,4500;000000038,6000
09/12/2011;735;A;PHP;00000000,04152;00000000,04165;000000043,5340;000000043,6450
09/12/2011;741;A;MXN;000000000,1327;000000000,1327;000000013,6577;000000013,6616
09/12/2011;745;A;UYU;00000000,09084;00000000,09226;000000019,6500;000000019,9500
09/12/2011;755;B;BWP;000000000,2412;000000000,2422;000000000,1331;000000000,1336
09/12/2011;760;A;MWK;00000000,01084;00000000,01111;000000163,1899;000000167,1899
09/12/2011;765;A;ZMK;000000,0003547;000000,0003562;000005090,0000;000005110,0000
09/12/2011;770;A;GTQ;000000000,2322;000000000,2338;000000007,7550;000000007,8050
09/12/2011;775;A;MMK;000000000,2823;000000000,2824;000000006,4200;000000006,4200
09/12/2011;778;B;PGK;000000000,8164;000000000,8766;000000000,4505;000000000,4835
09/12/2011;779;A;HRK;000000000,3224;000000000,3238;000000005,5999;000000005,6212
09/12/2011;780;A;LAK;000000,0002262;000000,0002262;000008013,5010;000008013,5010
09/12/2011;785;A;ZAR;000000000,2228;000000000,2230;000000008,1299;000000008,1357
09/12/2011;795;A;CNY;000000000,2847;000000000,2849;000000006,3640;000000006,3649
09/12/2011;800;A;QAR;000000000,4976;000000000,4979;000000003,6413;000000003,6418
09/12/2011;805;A;OMR;000000004,7061;000000004,7201;000000000,3841;000000000,3851
09/12/2011;810;A;YER;0000000,008256;0000000,008317;000000218,0000;000000219,5000
09/12/2011;815;A;IRR;000000,0001634;000000,0001692;000010716,9014;000011090,0010
09/12/2011;820;A;SAR;000000000,4832;000000000,4834;000000003,7504;000000003,7505
09/12/2011;825;A;KHR;000000,0004494;000000,0004496;000004032,3340;000004032,3340
09/12/2011;828;A;MYR;000000000,5757;000000000,5761;000000003,1470;000000003,1480
09/12/2011;829;A;BYR;000000,0002071;000000,0002108;000008600,0000;000008750,0000
09/12/2011;830;A;RUB;00000000,05758;00000000,05766;000000031,4450;000000031,4753
09/12/2011;835;A;TJS;000000000,3808;000000000,3810;000000004,7586;000000004,7586
